Date,Open,High,Low,Close
15-July-2010,17874.71,17978.56,17858.73,17909.46,
16-July-2010,17911.13,17980.27,17892.16,17955.82,
19-July-2010,17914.12,18005.07,17856.40,17928.42,
20-July-2010,17918.43,18040.17,17848.07,17878.14,
21-July-2010,17873.92,18012.20,17873.92,17977.23,
22-July-2010,17978.37,18127.90,17879.88,18113.15,
23-July-2010,18132.29,18237.56,18093.93,18130.98,
26-July-2010,18056.24,18194.09,17993.88,18020.05,
27-July-2010,17998.74,18149.56,17998.74,18077.61,
28-July-2010,18077.85,18137.14,17925.40,17957.37,
29-July-2010,17961.58,18013.10,17902.84,17992.00,
30-July-2010,17981.06,18000.35,17838.92,17868.29,
2-August-2010,17911.31,18104.24,17911.31,18081.21,
3-August-2010,18149.90,18167.45,18072.38,18114.83,
4-August-2010,18115.56,18249.46,18093.03,18217.44,
5-August-2010,18234.85,18295.43,18156.45,18172.83,
6-August-2010,18165.49,18244.56,18118.19,18143.99,
9-August-2010,18141.11,18309.25,18139.90,18287.50,
10-August-2010,18272.28,18293.40,18170.77,18219.99,
11-August-2010,18177.35,18263.88,18042.89,18070.19,
12-August-2010,17972.65,18113.62,17914.78,18073.90,
13-August-2010,18080.29,18260.39,18050.42,18167.03,
16-August-2010,18169.80,18203.92,17997.46,18050.78,
17-August-2010,18049.19,18140.15,18026.00,18048.85,
18-August-2010,18067.67,18286.00,18067.67,18257.12,
19-August-2010,18276.50,18475.27,18276.50,18454.94,
20-August-2010,18444.24,18464.14,18360.90,18401.82,
23-August-2010,18400.33,18454.38,18371.02,18409.35,
24-August-2010,18407.01,18451.73,18260.71,18311.59,
25-August-2010,18308.51,18312.43,18156.00,18179.64,
26-August-2010,18194.78,18261.06,18159.13,18226.35,
27-August-2010,18205.90,18248.36,17944.16,17998.41,
30-August-2010,18063.48,18216.50,17960.23,18032.11,
31-August-2010,18015.66,18015.66,17819.99,17971.12,
1-September-2010,18027.12,18227.14,18027.12,18205.87,
2-September-2010,18215.28,18355.84,18215.28,18238.31,
3-September-2010,18238.08,18316.32,18206.50,18221.43,
6-September-2010,18124.29,18600.30,18124.29,18560.05,
7-September-2010,18571.73,18711.20,18571.43,18645.06,
8-September-2010,18627.67,18721.21,18540.65,18666.71,
9-September-2010,18669.12,18823.17,18669.12,18799.66,
13-September-2010,18845.31,19243.44,18845.31,19208.33,
14-September-2010,19218.13,19487.02,19218.13,19346.96,
15-September-2010,19343.74,19554.50,19340.99,19502.11,
16-September-2010,19476.93,19636.66,19383.46,19417.49,
17-September-2010,19436.71,19639.18,19436.71,19594.75,
20-September-2010,19445.42,19927.30,19445.42,19906.10,
21-September-2010,19925.79,20088.96,19860.88,20001.55,
22-September-2010,20039.43,20105.54,19804.02,19941.72,
23-September-2010,19944.30,19998.32,19771.63,19861.01,
24-September-2010,19836.43,20071.75,19833.52,20045.18,
27-September-2010,20082.26,20267.98,20082.26,20117.38,
28-September-2010,20114.37,20157.51,19981.96,20104.86,
29-September-2010,20086.89,20234.05,19923.11,19956.34,
30-September-2010,19931.49,20114.73,19864.46,20069.12,
1-October-2010,20094.10,20475.47,20094.10,20445.04,
4-October-2010,20501.21,20706.74,20437.36,20475.73,
5-October-2010,20461.98,20560.54,20383.16,20407.71,
6-October-2010,20448.69,20669.95,20447.05,20543.08,
7-October-2010,20544.30,20581.29,20272.77,20315.32,
8-October-2010,20297.58,20409.19,20145.74,20250.26,
11-October-2010,20291.59,20461.27,20274.95,20339.89,
12-October-2010,20357.79,20368.40,20107.25,20203.34,
13-October-2010,20223.45,20703.97,20211.66,20687.88,
14-October-2010,20700.42,20854.55,20442.82,20497.64,
15-October-2010,20518.50,20578.45,20090.18,20125.05,
18-October-2010,20160.55,20229.39,19870.51,20168.89,
19-October-2010,20298.55,20332.02,19923.96,19983.13,
20-October-2010,19924.02,20043.82,19822.66,19872.15,
21-October-2010,19951.34,20293.10,19886.12,20260.58,
22-October-2010,20334.14,20351.74,20088.67,20165.86,
25-October-2010,20199.73,20452.30,20199.73,20303.12,
26-October-2010,20325.44,20344.68,20189.30,20221.39,
27-October-2010,20220.58,20220.58,19923.71,20005.37,
28-October-2010,20116.49,20185.46,19869.32,19941.04,
29-October-2010,19986.32,20080.33,19768.96,20032.34,
1-November-2010,20272.49,20609.65,20267.10,20355.63,
2-November-2010,20407.18,20418.35,20281.73,20345.69,
3-November-2010,20472.86,20538.80,20426.18,20465.74,
4-November-2010,20605.63,20917.03,20605.63,20893.57,
5-November-2010,21045.66,21108.64,20961.98,21004.96,
8-November-2010,21041.97,21075.71,20822.37,20852.38,
9-November-2010,20851.91,20984.08,20762.81,20932.48,
10-November-2010,20917.54,20970.91,20849.92,20875.71,
11-November-2010,20930.45,20937.38,20544.22,20589.09,
12-November-2010,20529.74,20593.91,20108.40,20156.89,
15-November-2010,20167.62,20335.51,20046.60,20309.69,
16-November-2010,20371.73,20380.10,19832.22,19865.14,
18-November-2010,19997.83,20056.44,19615.51,19930.64,
19-November-2010,19982.75,19982.75,19504.87,19585.44,
22-November-2010,19713.84,19989.02,19641.42,19957.59,
23-November-2010,19841.42,19841.42,19342.69,19691.84,
24-November-2010,19735.28,19835.57,19375.92,19459.85,
25-November-2010,19560.25,19628.27,19257.37,19318.16,
26-November-2010,19391.96,19417.61,18954.82,19136.61,
29-November-2010,19230.34,19450.09,19167.19,19405.10,
30-November-2010,19373.23,19610.46,19218.02,19521.25,
1-December-2010,19529.99,19887.26,19525.15,19850.00,
2-December-2010,20038.66,20084.25,19917.77,19992.70,
3-December-2010,20007.89,20067.81,19877.12,19966.93,
6-December-2010,20038.25,20217.86,19944.71,19981.31,
7-December-2010,19982.90,20008.36,19824.44,19934.64,
8-December-2010,19874.30,19875.51,19611.35,19696.48,
9-December-2010,19746.15,19771.09,19160.87,19242.36,
10-December-2010,19201.89,19537.40,19074.57,19508.89,
13-December-2010,19600.28,19710.57,19321.41,19691.78,
14-December-2010,19746.75,19836.82,19621.41,19799.19,
15-December-2010,19791.22,19817.61,19571.43,19647.77,
16-December-2010,19698.58,19897.22,19554.35,19864.85,
20-December-2010,19770.02,20006.16,19711.12,19888.88,
21-December-2010,19925.76,20090.84,19925.76,20060.32,
22-December-2010,20118.82,20151.25,19931.31,20015.80,
23-December-2010,20038.83,20076.08,19939.30,19982.88,
24-December-2010,19911.46,20086.42,19880.36,20073.66,
27-December-2010,20062.60,20190.13,20010.33,20028.93,
28-December-2010,20056.47,20090.41,19981.76,20025.42,
29-December-2010,20060.88,20274.20,20054.64,20256.03,
30-December-2010,20274.12,20410.91,20274.12,20389.07,
31-December-2010,20412.76,20552.03,20412.76,20509.09,
3-January-2011,20621.61,20664.80,20531.00,20561.05,
4-January-2011,20617.38,20651.21,20449.01,20498.72,
5-January-2011,20509.95,20509.95,20243.95,20301.10,
6-January-2011,20395.50,20425.85,20107.17,20184.74,
7-January-2011,20163.85,20210.62,19629.22,19691.81,
10-January-2011,19714.42,19720.43,19158.43,19224.12,
11-January-2011,19279.77,19431.56,19003.60,19196.34,
12-January-2011,19353.34,19574.63,19048.56,19534.10,
13-January-2011,19492.30,19522.38,19136.27,19182.82,
14-January-2011,19198.04,19447.82,18811.96,18860.44,
17-January-2011,18911.43,19018.94,18779.38,18882.25,
18-January-2011,18983.20,19120.62,18933.47,19092.05,
19-January-2011,19153.31,19167.06,18898.56,18978.32,
20-January-2011,18892.43,19100.26,18794.73,19046.54,
21-January-2011,19007.08,19065.34,18932.40,19007.53,
24-January-2011,19095.69,19194.46,18998.38,19151.28,
25-January-2011,19227.42,19340.99,18949.44,18969.45,
27-January-2011,19086.69,19086.69,18656.05,18684.43,
28-January-2011,18708.62,18723.12,18235.45,18395.97,
31-January-2011,18226.21,18395.09,18038.48,18327.76,
1-February-2011,18425.18,18452.06,17982.17,18022.22,
2-February-2011,18216.91,18306.00,18042.61,18090.62,
3-February-2011,18113.73,18466.21,18064.61,18449.31,
4-February-2011,18450.07,18542.20,17926.98,18008.15,
7-February-2011,18135.02,18180.94,17977.01,18037.19,
